ЗАЩИТА ПЕРИМЕТРА;Космический электропастух.
КОНТРАКТ TOTAL ENGINE;+2 выбор модулей и что-то мелким шрифтом.
СТЕКЛЯННАЯ ПУШКА;Крайне хрупкое, дорогое и мощное оружие.
ДЕМОН;:)
АНГЕЛ;ПРОООИ ОЕОЯ ОООО
КОНТРАБАНДА;+1 выбор модуля.
СЖИГАТЕЛЬ МУСОРА;Сжигает мусор. Толерантен к вашим противникам.
СПУТНИК "МАРС";Неуязвимый таранный дрон.
СПУТНИК "НЕПТУН";Атакующий, боевой дрон с высокой живучестью.
ЭКСПРЕСС ТЮНИНГ;+2 уровня оружия. Снижает эффективность ремонта.
ДОКУМЕНТАЦИЯ;Обслуживать наномашины станет проще. Оказывается.
СТАРАЯ КАСАТКА;Запасной корабль. Долгая история.
АУГМЕНТАЦИЯ;Конвертирует все ваши модули в огневую мощь и броню.
БРОНЕ- СЕРДЕЧНИКИ;Пока у вас есть броня, пули прошивают противников.
ПАНЦЕРПАТРОН;Тяжелые пули, пока у вас есть броня.
КРИТИЧЕСКАЯ МАССА;Не стоило вам разрушать мою броню.
ПЕРЕРАБОТКА;Каждое улучшение оружия сбрасывается и преобразуется в наносимый урон.
СИНЯЯ РУКА;Теперь можно отражать только свои снаряды. Да.
КРАСНАЯ РУКА;Вместо отражения снарядов, отражайте хлебала врагов.
КЕШБЭК;Повышенная выгода для ваших врагов.
СПУТНИК "САТУРН";Блокирует и иногда отражает снаряды.
ТАРАН МИДАСА;Чем больше противников - тем больше аурита.
ИБП;Эффективность тарана не зависит от количества врагов.
ОРТОДОНТ;Особая буровая модель таранного щита.
РЕКУПЕРАЦИЯ;Время действия таранного щита увеличено.
ИНФРА- ИНФАРКТ;Вызывает остановку сердца и детонацию компрессора у слабых противников.
НЕГАТИВНАЯ КАМЕРА;Увеличивает размер снарядов главного оружия.
ЗЕЛЁНЫЙ ПОВЕРАП;Увеличивает огневую мощь на 1 уровень.
РЕМКОМПЛЕКТ;Стабильные + 15№ и +30% всего объёма контура наномашин.
"ГОЛИАФ";Много брони. Утраивает получаемый урон, если она закончилась.
"БУРЕЛОМ";Теперь вы полностью переоборудованы под тараны.
"ПРИЗМА";Не последняя. Отражает целый спектр снарядов.
"ТАНКЕР";+4 выбор модулей.  Придется понизить уровень оружия.
"ТЕЛЕСКОП";Теперь вы типичный астроном из Кетуса со своей обсерваторией.
"360";Ваше главное оружие перемещается на поворотную турель.
ВОЕННЫЕ ОБЛИГАЦИИ;ЦБ Total Engine каждый этап будет выплачивать Вам процент в 15-35 аурита.
